Employee,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
IN700,Jasper,Briggs,M,28-02-1995,725-341-6932,WH001VAN,25-01-2021,,Intern,SM200,1500.0
SE400,Jemima,Nguyen,F,13-11-1989,424-328-0004,OF001COQ,30-01-2011,,Software Engineer,SM100,8000.0
,,,,,,,,,,max 3 ppl incharge,
,,,,,,,,,,max 1 ppl incharge,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,COO100,COO200,6.0,5.0
,,,,,,,,SM100,SM200,3.0,3.0
,,,,,,,,CDO100,CDO200,3.0,3.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,SNM100,6.0,,
,,,,,,,,SCOO100,5.0,,
,,,,,,,,SCDO100,4.0,,
,,,,,,,,SSM100,3.0,,
,,,,,,,,AD100,4.0,,
